,county_fip,ZIP
1193,36071,12746
1194,36071,12754
1195,36071,12771
1196,36071,12780
1197,36071,12785
1198,36079,10505
1199,36079,10509
1200,36079,10512
1201,36079,10516
1202,36079,10524
1203,36079,10537
1204,36079,10541
1205,36079,10542
1206,36079,10567
1207,36079,10579
1208,36079,10588
1209,36079,10598
1210,36079,12524
1211,36079,12531
1212,36079,12533
1213,36079,12563
1214,36079,12564
1215,36079,12582
1216,36081,11001
1217,36081,11004
1218,36081,11005
1219,36081,11020
1220,36081,11040
1221,36081,11101
1222,36081,11102
1223,36081,11103
1224,36081,11104
1225,36081,11105
1226,36081,11106
1227,36081,11109
1228,36081,11208
1229,36081,11237
1230,36081,11351
1231,36081,11352
1232,36081,11354
1233,36081,11355
1234,36081,11356
1235,36081,11357
1236,36081,11358
1237,36081,11359
1238,36081,11360
1239,36081,11361
1240,36081,11362
1241,36081,11363
1242,36081,11364
1243,36081,11365
1244,36081,11366
1245,36081,11367
1246,36081,11368
1247,36081,11369
1248,36081,11370
1249,36081,11371
1250,36081,11372
1251,36081,11373
1252,36081,11374
1253,36081,11375
1254,36081,11377
1255,36081,11378
1256,36081,11379
1257,36081,11380
1258,36081,11381
1259,36081,11385
1260,36081,11386
1261,36081,11405
1262,36081,11411
1263,36081,11412
1264,36081,11413
1265,36081,11414
1266,36081,11415
1267,36081,11416
1268,36081,11417
1269,36081,11418
1270,36081,11419
1271,36081,11420
1272,36081,11421
1273,36081,11422
1274,36081,11423
1275,36081,11424
1276,36081,11425
1277,36081,11426
1278,36081,11427
1279,36081,11428
1280,36081,11429
1281,36081,11430
1282,36081,11431
1283,36081,11432
1284,36081,11433
1285,36081,11434
1286,36081,11435
1287,36081,11436
1288,36081,11437
1289,36081,11439
1290,36081,11451
1291,36081,11499
1292,36081,11559
1293,36081,11580
1294,36081,11691
1295,36081,11692
1296,36081,11693
1297,36081,11694
1298,36081,11697
1299,36085,10301
1300,36085,10302
1301,36085,10303
1302,36085,10304
1303,36085,10305
1304,36085,10306
1305,36085,10307
1306,36085,10308
1307,36085,10309
1308,36085,10310
1309,36085,10311
1310,36085,10312
1311,36085,10313
1312,36085,10314
1313,36087,10901
1314,36087,10911
1315,36087,10913
1316,36087,10920
1317,36087,10923
1318,36087,10927
1319,36087,10931
1320,36087,10952
1321,36087,10954
1322,36087,10956
1323,36087,10960
1324,36087,10962
1325,36087,10964
1326,36087,10965
1327,36087,10968
1328,36087,10970
1329,36087,10974
1330,36087,10976
1331,36087,10977
1332,36087,10980
1333,36087,10982
1334,36087,10983
1335,36087,10984
1336,36087,10986
1337,36087,10987
1338,36087,10989
1339,36087,10993
1340,36087,10994
1341,36103,501
1342,36103,6390
1343,36103,11701
1344,36103,11702
1345,36103,11703
1346,36103,11704
1347,36103,11705
1348,36103,11706
1349,36103,11713
1350,36103,11715
1351,36103,11716
1352,36103,11717
1353,36103,11718
1354,36103,11719
1355,36103,11720
1356,36103,11721
1357,36103,11722
1358,36103,11724
1359,36103,11725
1360,36103,11726
1361,36103,11727
1362,36103,11729
1363,36103,11730
1364,36103,11731
1365,36103,11733
1366,36103,11735
1367,36103,11738
1368,36103,11739
1369,36103,11740
1370,36103,11741
1371,36103,11742
1372,36103,11743
1373,36103,11746
1374,36103,11747
1375,36103,11749
1376,36103,11751
1377,36103,11752
1378,36103,11754
1379,36103,11755
1380,36103,11757
1381,36103,11758
1382,36103,11763
1383,36103,11764
1384,36103,11766
1385,36103,11767
1386,36103,11768
1387,36103,11769
1388,36103,11770
1389,36103,11772
1390,36103,11776
1391,36103,11777
1392,36103,11778
1393,36103,11779
1394,36103,11780
1395,36103,11782
1396,36103,11784
1397,36103,11786
1398,36103,11787
1399,36103,11788
1400,36103,11789
1401,36103,11790
1402,36103,11792
1403,36103,11794
1404,36103,11795
1405,36103,11796
1406,36103,11797
1407,36103,11798
1408,36103,11901
1409,36103,11930
1410,36103,11931
